source_file,topic_number,extracted_name
Chemical Bonding And Molecular Structure.pdf,4,1
Chemical Bonding And Molecular Structure.pdf,4.1.1,Octet Rule
Chemical Bonding And Molecular Structure.pdf,4.1.2,Covalent Bond
Chemical Bonding And Molecular Structure.pdf,4.1.3,Lewis Representation of Simple
Chemical Bonding And Molecular Structure.pdf,4.1.4,Formal Charge
Chemical Bonding And Molecular Structure.pdf,4.1.5,Limitations of the Octet Rule
Chemical Bonding And Molecular Structure.pdf,4,2
Chemical Bonding And Molecular Structure.pdf,4.2.1,Lattice Enthalpy
Chemical Bonding And Molecular Structure.pdf,4.3,Bond Parameters
Chemical Bonding And Molecular Structure.pdf,4.3.1,Bond Length
Chemical Bonding And Molecular Structure.pdf,4.3.2,Bond Angle
Chemical Bonding And Molecular Structure.pdf,4.3.3,Bond Enthalpy
Chemical Bonding And Molecular Structure.pdf,4.3.4,Bond Order
Chemical Bonding And Molecular Structure.pdf,4.3.5,Resonance Structures
Chemical Bonding And Molecular Structure.pdf,4.3.6,Polarity of Bonds
Chemical Bonding And Molecular Structure.pdf,4,4
Chemical Bonding And Molecular Structure.pdf,4,5
Chemical Bonding And Molecular Structure.pdf,4.5.1,Orbital Overlap Concept
Chemical Bonding And Molecular Structure.pdf,4.5.2,Directional Properties of Bonds
Chemical Bonding And Molecular Structure.pdf,4.5.3,Overlapping of Atomic Orbitals
Chemical Bonding And Molecular Structure.pdf,4.5.4,Types of Overlapping and Nature of
Chemical Bonding And Molecular Structure.pdf,4.5.5,Strength of Sigma and pi Bonds
Chemical Bonding And Molecular Structure.pdf,4,6
Chemical Bonding And Molecular Structure.pdf,4.6.1,Types of Hybridisation
Chemical Bonding And Molecular Structure.pdf,4.6.2,"Other Examples of sp3, sp2 and sp"
Chemical Bonding And Molecular Structure.pdf,4.6.3,Hybridisation of Elements
Chemical Bonding And Molecular Structure.pdf,4,7
Chemical Bonding And Molecular Structure.pdf,4.7.1,Formation of Molecular Orbitals
Chemical Bonding And Molecular Structure.pdf,4.7.2,Conditions for the Combination of
Chemical Bonding And Molecular Structure.pdf,4.7.3,Types of Molecular Orbitals
Chemical Bonding And Molecular Structure.pdf,4.7.4,Energy Level Diagram for Molecular
Chemical Bonding And Molecular Structure.pdf,4.7.5,Electronic Configuration and
Chemical Bonding And Molecular Structure.pdf,4,8
Chemical Bonding And Molecular Structure.pdf,4,Carbon molecule (C2 ): The electronic
Chemical Bonding And Molecular Structure.pdf,4.9,Hydrogen Bonding
Chemical Bonding And Molecular Structure.pdf,4.9.1,Cause of Formation of Hydrogen
Chemical Bonding And Molecular Structure.pdf,4.9.2,Types of H-Bonds
Classification Of Elements And Periodicity.pdf,3,1
Classification Of Elements And Periodicity.pdf,3,2
Classification Of Elements And Periodicity.pdf,3,3
Classification Of Elements And Periodicity.pdf,3,4
Classification Of Elements And Periodicity.pdf,3,5
Classification Of Elements And Periodicity.pdf,3,6
Classification Of Elements And Periodicity.pdf,3.6.1,The s-Block Elements
Classification Of Elements And Periodicity.pdf,3.6.2,The p-Block Elements
Classification Of Elements And Periodicity.pdf,3.6.3,The d-Block Elements (Transition
Classification Of Elements And Periodicity.pdf,3.6.4,The f-Block Elements
Classification Of Elements And Periodicity.pdf,3.6.5,"Metals, Non-metals and Metalloids"
Classification Of Elements And Periodicity.pdf,3,7
Classification Of Elements And Periodicity.pdf,3.7.1,Trends in Physical Properties
Classification Of Elements And Periodicity.pdf,3.7.2,Periodic Trends in Chemical
Classification Of Elements And Periodicity.pdf,3.7.3,Periodic
Equilibrium.pdf,6,1
Equilibrium.pdf,6.1.1,Solid-Liquid Equilibrium
Equilibrium.pdf,6.1.2,Liquid-Vapour Equilibrium
Equilibrium.pdf,6.1.3,Solid – Vapour Equilibrium
Equilibrium.pdf,6.1.4,Equilibrium Involving Dissolution
Equilibrium.pdf,6.1.5,General Characteristics of
Equilibrium.pdf,6,2
Equilibrium.pdf,6,3
Equilibrium.pdf,6,4
Equilibrium.pdf,6.4.1,Equilibrium Constant in Gaseous
Equilibrium.pdf,6,5
Equilibrium.pdf,6.6.1,Predicting the Extent of a
Equilibrium.pdf,6,6
Equilibrium.pdf,6.6.2,Predicting the Direction of the
Equilibrium.pdf,6.6.3,Calculating Equilibrium
Equilibrium.pdf,6,8
Equilibrium.pdf,6,7
Equilibrium.pdf,6.8.1,Effect of Concentration Change
Equilibrium.pdf,6.8.2,Effect of Pressure Change
Equilibrium.pdf,6.8.3,Effect of Inert Gas Addition
Equilibrium.pdf,6.8.4,Effect of Temperature Change
Equilibrium.pdf,6.8.5,Effect of a Catalyst
Equilibrium.pdf,6,9
Equilibrium.pdf,6.10,"ACIDS, BASES AND SALTS"
Equilibrium.pdf,6.10.1,Arrhenius Concept of Acids and
Equilibrium.pdf,6.10.2,The Brönsted-Lowry Acids and
Equilibrium.pdf,6.10.3,Lewis Acids and Bases
Equilibrium.pdf,6.11,IONIZATION OF ACIDS AND BASES
Equilibrium.pdf,6.11.1,The Ionization Constant of Water
Equilibrium.pdf,6.11.2,The pH Scale
Equilibrium.pdf,6.11.3,Ionization Constants of Weak Acids
Equilibrium.pdf,6.11.4,Ionization of Weak Bases
Equilibrium.pdf,6.11.5,Relation between Ka and Kb
Equilibrium.pdf,6.11.6,Di- and Polybasic Acids and Di-
Equilibrium.pdf,6.11.8,Common Ion Effect in the
Equilibrium.pdf,6.11.7,Factors Affecting Acid Strength
Equilibrium.pdf,6.11.9,Hydrolysis of Salts and the pH of
Equilibrium.pdf,6.12,BUFFER SOLUTIONS
Equilibrium.pdf,6.12.1,Designing Buffer Solution
Equilibrium.pdf,6.13,SOLUBILITY EQUILIBRIA OF
Equilibrium.pdf,6.13.1,Solubility Product Constant
Equilibrium.pdf,6.13.2,Common Ion Effect on Solubility
Some Basic Concepts Of Chemistry.pdf,1,1
Some Basic Concepts Of Chemistry.pdf,1,2
Some Basic Concepts Of Chemistry.pdf,1.2.1,States of Matter
Some Basic Concepts Of Chemistry.pdf,1.2.2,Classification of Matter
Some Basic Concepts Of Chemistry.pdf,1,3
Some Basic Concepts Of Chemistry.pdf,1.3.1,Physical and chemical properties
Some Basic Concepts Of Chemistry.pdf,1.3.2,Measurement of physical properties
Some Basic Concepts Of Chemistry.pdf,1.3.3,The International System of Units (SI)
Some Basic Concepts Of Chemistry.pdf,1.3.4,Mass and Weight
Some Basic Concepts Of Chemistry.pdf,1.3.5,Volume
Some Basic Concepts Of Chemistry.pdf,1,4
Some Basic Concepts Of Chemistry.pdf,1.3.6,Density
Some Basic Concepts Of Chemistry.pdf,1.3.7,Temperature
Some Basic Concepts Of Chemistry.pdf,1.4.1,Scientific Notation
Some Basic Concepts Of Chemistry.pdf,1.4.2,Significant Figures
Some Basic Concepts Of Chemistry.pdf,1.4.3,Dimensional Analysis
Some Basic Concepts Of Chemistry.pdf,1,5
Some Basic Concepts Of Chemistry.pdf,1.5.1,Law of Conservation
Some Basic Concepts Of Chemistry.pdf,1.5.5,Avogadro’s Law
Some Basic Concepts Of Chemistry.pdf,1.5.2,Law of Definite Proportions
Some Basic Concepts Of Chemistry.pdf,1.5.3,Law of Multiple Proportions
Some Basic Concepts Of Chemistry.pdf,1.5.4,Gay
Some Basic Concepts Of Chemistry.pdf,1,6
Some Basic Concepts Of Chemistry.pdf,1,7
Some Basic Concepts Of Chemistry.pdf,1.7.1,Atomic Mass
Some Basic Concepts Of Chemistry.pdf,1.7.2,Average Atomic Mass
Some Basic Concepts Of Chemistry.pdf,1.7.3,Molecular Mass
Some Basic Concepts Of Chemistry.pdf,1.7.4,Formula Mass
Some Basic Concepts Of Chemistry.pdf,1,9
Some Basic Concepts Of Chemistry.pdf,1,8
Some Basic Concepts Of Chemistry.pdf,1.9.1,Empirical Formula for Molecular
Some Basic Concepts Of Chemistry.pdf,1,008g
Some Basic Concepts Of Chemistry.pdf,1.10.1,Limiting Reagent
Some Basic Concepts Of Chemistry.pdf,1.10,Stoichiometry and
Some Basic Concepts Of Chemistry.pdf,1.10.2,Reactions in Solutions
Some Basic Concepts Of Chemistry.pdf,1,Mass per cent
Structure Of Atom.pdf,2,1
Structure Of Atom.pdf,2.1.1,Discovery of Electron
Structure Of Atom.pdf,2.1.2,Charge to Mass Ratio of Electron
Structure Of Atom.pdf,2.1.3,Charge on the Electron
Structure Of Atom.pdf,2.1.4,Discovery of Protons and Neutrons
Structure Of Atom.pdf,2,2
Structure Of Atom.pdf,2.2.1,Thomson Model of Atom
Structure Of Atom.pdf,2.2.2,Rutherford’s Nuclear Model of Atom
Structure Of Atom.pdf,2.2.3,Atomic Number and Mass Number
Structure Of Atom.pdf,2.2.4,Isobars and Isotopes
Structure Of Atom.pdf,2.2.5,Drawbacks of Rutherford Model
Structure Of Atom.pdf,2,3
Structure Of Atom.pdf,2.3.1,Wave Nature of Electromagnetic
Structure Of Atom.pdf,2.3.2,Particle Nature of Electromagnetic
Structure Of Atom.pdf,2,012
Structure Of Atom.pdf,2.3.3,Evidence
Structure Of Atom.pdf,2,4
Structure Of Atom.pdf,2.4.1,Explanation of Line Spectrum of
Structure Of Atom.pdf,2.4.2,Limitations of Bohr’s Model
Structure Of Atom.pdf,2,5
Structure Of Atom.pdf,2.5.1,Dual Behaviour of Matter
Structure Of Atom.pdf,2.5.2,Heisenberg’s Uncertainty Principle
Structure Of Atom.pdf,2.6,Quantum Mechanical Model of
Structure Of Atom.pdf,2.6.1,Orbitals and Quantum Numbers
Structure Of Atom.pdf,2.6.2,Shapes of Atomic Orbitals
Structure Of Atom.pdf,2.6.3,Energies of Orbitals
Structure Of Atom.pdf,2.6.4,Filling of Orbitals in Atom
Structure Of Atom.pdf,2.6.5,Electronic Configuration of Atoms
Structure Of Atom.pdf,2.6.6,Stability of Completely Filled and
Structure Of Atom.pdf,2,Exchange Energy : The stabilizing
Thermodynamics.pdf,5.1,Thermodynamic terms
Thermodynamics.pdf,5.1.1,The System and the Surroundings
Thermodynamics.pdf,5.1.2,Types of the System
Thermodynamics.pdf,5.1.3,The State of the System
Thermodynamics.pdf,5.1.4,The Internal Energy as a State
Thermodynamics.pdf,5,2
Thermodynamics.pdf,5.2.1,Work
Thermodynamics.pdf,5.2.2,"Enthalpy, H"
Thermodynamics.pdf,5,3
Thermodynamics.pdf,5,4
Thermodynamics.pdf,5,5
Thermodynamics.pdf,5,6
Thermodynamics.pdf,5,7
