subject,class,chapter_file,chapter_number,heading_number,heading_text
Chemistry,Class 11,Chemical Bonding And Molecular Structure.pdf,4,4,KÖssel-Lewis Approach to Chemical Bonding
Chemistry,Class 11,Chemical Bonding And Molecular Structure.pdf,4,4.1,Ionic or Electrovalent Bond
Chemistry,Class 11,Chemical Bonding And Molecular Structure.pdf,4,4.2,Bond Parameters
Chemistry,Class 11,Chemical Bonding And Molecular Structure.pdf,4,4.3,The Valence Shell Electron Pair Repulsion (VSEPR) Theory
Chemistry,Class 11,Chemical Bonding And Molecular Structure.pdf,4,4.4,Valence Bond Theory
Chemistry,Class 11,Chemical Bonding And Molecular Structure.pdf,4,4.5,Hybridisation
Chemistry,Class 11,Chemical Bonding And Molecular Structure.pdf,4,4.6,Molecular Orbital Theory
Chemistry,Class 11,Chemical Bonding And Molecular Structure.pdf,4,4.7,Bonding in Some Homonuclear Diatomic Molecules
Chemistry,Class 11,Chemical Bonding And Molecular Structure.pdf,4,4.8,Hydrogen Bonding
Chemistry,Class 11,Chemical Bonding And Molecular Structure.pdf,4,4.1.1,Octet Rule
Chemistry,Class 11,Chemical Bonding And Molecular Structure.pdf,4,4.1.2,Covalent Bond
Chemistry,Class 11,Chemical Bonding And Molecular Structure.pdf,4,4.1.3,Lewis Representation of Simple Molecules
Chemistry,Class 11,Chemical Bonding And Molecular Structure.pdf,4,4.1.4,Formal Charge
Chemistry,Class 11,Chemical Bonding And Molecular Structure.pdf,4,4.1.5,Limitations of the Octet Rule
Chemistry,Class 11,Chemical Bonding And Molecular Structure.pdf,4,4.2.1,Lattice Enthalpy
Chemistry,Class 11,Chemical Bonding And Molecular Structure.pdf,4,4.3.1,Bond Length
Chemistry,Class 11,Chemical Bonding And Molecular Structure.pdf,4,4.3.2,Bond Angle
Chemistry,Class 11,Chemical Bonding And Molecular Structure.pdf,4,4.3.3,Bond Enthalpy
Chemistry,Class 11,Chemical Bonding And Molecular Structure.pdf,4,4.3.4,Bond Order
Chemistry,Class 11,Chemical Bonding And Molecular Structure.pdf,4,4.3.5,Resonance Structures
Chemistry,Class 11,Chemical Bonding And Molecular Structure.pdf,4,4.3.6,Polarity of Bonds
Chemistry,Class 11,Chemical Bonding And Molecular Structure.pdf,4,4.5.1,Orbital Overlap Concept
Chemistry,Class 11,Chemical Bonding And Molecular Structure.pdf,4,4.5.2,Directional Properties of Bonds
Chemistry,Class 11,Chemical Bonding And Molecular Structure.pdf,4,4.5.3,Overlapping of Atomic Orbitals
Chemistry,Class 11,Chemical Bonding And Molecular Structure.pdf,4,4.5.4,Types of Overlapping and Nature of Covalent Bonds
Chemistry,Class 11,Chemical Bonding And Molecular Structure.pdf,4,4.5.5,Strength of Sigma and pi Bonds
Chemistry,Class 11,Chemical Bonding And Molecular Structure.pdf,4,4.6.1,Types of Hybridisation
Chemistry,Class 11,Chemical Bonding And Molecular Structure.pdf,4,4.6.2,"Other Examples of sp3, sp2 and sp Hybridisation"
Chemistry,Class 11,Chemical Bonding And Molecular Structure.pdf,4,4.6.3,Hybridisation of Elements involving d Orbitals
Chemistry,Class 11,Chemical Bonding And Molecular Structure.pdf,4,4.7.1,Formation of Molecular Orbitals
Chemistry,Class 11,Chemical Bonding And Molecular Structure.pdf,4,4.7.2,Conditions for the Combination of Atomic Orbitals
Chemistry,Class 11,Chemical Bonding And Molecular Structure.pdf,4,4.7.3,Types of Molecular Orbitals
Chemistry,Class 11,Chemical Bonding And Molecular Structure.pdf,4,4.7.4,Energy Level Diagram for Molecular Orbitals
Chemistry,Class 11,Chemical Bonding And Molecular Structure.pdf,4,4.7.5,Electronic Configuration and Molecular Behaviour
Chemistry,Class 11,Chemical Bonding And Molecular Structure.pdf,4,4.9.1,Cause of Formation of Hydrogen Bond
Chemistry,Class 11,Chemical Bonding And Molecular Structure.pdf,4,4.9.2,Types of H-Bonds
